family,accession,trait,cpg,region_id,k_iv,method,beta,se,lo,hi,p,Qp,mean_F,p_bh
SBP,GCST90310294,Systolic blood pressure,cg18129748,106528,4,ivw_re,0.04366383085107335,0.5149788209240344,-0.965694658160034,1.0530223198621806,0.9324302323943112,2.6522341400880833e-07,93.81870373504762,0.9972279397678887
SBP,GCST90310294,Systolic blood pressure,cg19490609,12268,20,ivw_re,-0.08327736347199469,0.13732145485627215,-0.35242741499028807,0.18587268804629872,0.5442219348458534,0.0,146.33751840034387,0.7915955415939685
SBP,GCST90310294,Systolic blood pressure,cg24308560,106528,28,ivw_re,-0.07449175435754618,0.06011978315718336,-0.19232652934562555,0.043343020630533205,0.2153249059903957,0.0,588.6309992605945,0.4463737845428956
SBP,GCST90310294,Systolic blood pressure,cg25753631,12268,29,ivw_re,0.2723974082703389,0.09961397557260518,0.07715401614803277,0.4676408003926451,0.006246939561056743,0.0,333.18061369475754,0.04997551648845394
SBP,GCST90310294,Systolic blood pressure,cg27360567,106528,19,ivw_re,-0.18079806522447603,0.0970376560469387,-0.3709918710764759,0.009395740627523824,0.06243774983793146,0.0,366.9053775609407,0.2185321244327601
WBC,GCST90018978,White blood cell count,cg00387872,12268,58,ivw_re,0.0034595888710556555,0.00452249364001767,-0.005404498663378977,0.01232367640549029,0.44428718220896585,0.0,736.7876238675574,0.7108594915343454
WBC,GCST90018978,White blood cell count,cg15445000,84604,15,ivw_re,0.005381340006324323,0.01584770944752104,-0.025680170510816912,0.03644285052346556,0.7341835431232618,0.0,410.97954938698894,0.9247574119068547
WBC,GCST90018978,White blood cell count,cg18129748,106528,4,ivw_re,0.049533447278784316,0.04897085813418674,-0.04644943466422168,0.1455163292217903,0.3117828051697439,1.5609533843274903e-07,93.81870373504762,0.5680648886636642
WBC,GCST90018978,White blood cell count,cg19490609,12268,24,ivw_re,0.04016394810179467,0.011884584096600736,0.016870163272457224,0.0634577329311321,0.0007261789301956684,0.0,193.27971619765344,0.011618862883130696
WBC,GCST90018978,White blood cell count,cg24308560,106528,29,ivw_re,-0.017788536878525624,0.004512975810332305,-0.026633969466776944,-0.008943104290274307,8.0925561708574e-05,1.609823385706477e-15,576.5815219388185,0.009063662911360288
WBC,GCST90018978,White blood cell count,cg25753631,12268,29,ivw_re,0.005545533852023811,0.007650342076897264,-0.009449136618694827,0.02054020432274245,0.4685293496183555,0.0,333.18061369475754,0.7188395500993948
WBC,GCST90018978,White blood cell count,cg27360567,106528,20,ivw_re,-0.026930543925274886,0.007718745670734934,-0.042059285439915356,-0.011801802410634415,0.00048486868150178914,1.0547118733938987e-14,355.26006743156677,0.011618862883130696
eGFR,GCST90019506,Estimated glomerular filtration rate,cg00387872,12268,56,ivw_re,0.001193503953102583,0.0039006329337944274,-0.006451736597134494,0.00883874450333966,0.7596221597806306,0.0,759.5745183878372,0.9247574119068547
eGFR,GCST90019506,Estimated glomerular filtration rate,cg15445000,84604,15,ivw_re,-0.032614003914000926,0.017945462200552816,-0.06778710982708444,0.0025591019990825956,0.06915656209414618,0.0,410.97954938698894,0.22780985160424624
eGFR,GCST90019506,Estimated glomerular filtration rate,cg18129748,106528,4,ivw_re,-0.005777365298847242,0.06489992290792573,-0.13298121419838166,0.12142648360068718,0.9290663319227828,1.6423895576878067e-10,93.81870373504762,0.9972279397678887
eGFR,GCST90019506,Estimated glomerular filtration rate,cg19490609,12268,23,ivw_re,0.01798573987608354,0.011190232618961243,-0.003947116057080497,0.03991859580924757,0.10799486432527511,0.0,191.86955737449563,0.3023856201107703
eGFR,GCST90019506,Estimated glomerular filtration rate,cg24308560,106528,29,ivw_re,0.01739149976880169,0.006231583463833597,0.005177596179687841,0.02960540335791554,0.005256761196817704,0.0,576.5815219388185,0.045289019541814066
eGFR,GCST90019506,Estimated glomerular filtration rate,cg25753631,12268,29,ivw_re,0.005334499056518266,0.007077611258335343,-0.008537619009819006,0.019206617122855537,0.4510206031506832,0.0,333.18061369475754,0.7114691204630496
eGFR,GCST90019506,Estimated glomerular filtration rate,cg27360567,106528,20,ivw_re,0.028616249735592986,0.011318142314895568,0.006432690798397672,0.0507998086727883,0.01145993345036983,0.0,355.26006743156677,0.08021953415258881
GH_FinnGen,FinnGen_R10_local,GH_FinnGen,cg00387872,12268,56,ivw_fe,0.004938564492710083,0.008323968429808974,-0.011376413629715504,0.021253542615135672,0.5529840946045892,0.11325280721134978,753.6964414313277,
GH_FinnGen,FinnGen_R10_local,GH_FinnGen,cg15445000,84604,14,ivw_fe,0.023287705278877073,0.021191242517611203,-0.01824713005564088,0.06482254061339503,0.27179832946769716,0.06209782327308744,436.1321817433173,
GH_FinnGen,FinnGen_R10_local,GH_FinnGen,cg18129748,106528,5,ivw_fe,-0.17018165213801625,0.08443885600982066,-0.33568180991726476,-0.004681494358767746,0.04385831369727849,0.09010657626328744,79.34125188419293,
GH_FinnGen,FinnGen_R10_local,GH_FinnGen,cg19490609,12268,22,ivw_re,-0.015880901412064653,0.03920272931425718,-0.09271825086800872,0.060956448043879424,0.6854063357904301,0.010671444641873529,178.4596842092345,
GH_FinnGen,FinnGen_R10_local,GH_FinnGen,cg24308560,106528,29,ivw_re,-0.030437170478489286,0.024560421872145962,-0.07857559734789538,0.0177012563909168,0.21524286487986435,3.6796505648029054e-07,576.5815219388185,
GH_FinnGen,FinnGen_R10_local,GH_FinnGen,cg25753631,12268,28,ivw_fe,0.03421030728578779,0.017157687134622204,0.0005812405019282735,0.06783937406964731,0.04616556471615828,0.09214936860674389,340.9428914655984,
GH_FinnGen,FinnGen_R10_local,GH_FinnGen,cg27360567,106528,20,ivw_re,-0.08658432119397105,0.037682019945228795,-0.1604410802866195,-0.012727562101322615,0.021575327035623447,5.622955426332066e-06,355.26006743156677,
PE_FinnGen,FinnGen_R10_local,PE_FinnGen,cg00387872,12268,56,ivw_re,-0.00431340187006989,0.014640775169327198,-0.0330093212019512,0.02438251746181142,0.7682874859026683,0.0010956712156687254,753.6964414313277,
PE_FinnGen,FinnGen_R10_local,PE_FinnGen,cg15445000,84604,14,ivw_re,0.033165267180945465,0.04036164530252127,-0.045943557611996214,0.11227409197388714,0.41124620310358473,0.002751650309204934,436.1321817433173,
PE_FinnGen,FinnGen_R10_local,PE_FinnGen,cg18129748,106528,5,ivw_fe,0.03745191190625183,0.09078969014882839,-0.1404958807854518,0.21539970459795546,0.6799635796799555,0.5905479412448871,79.34125188419293,
PE_FinnGen,FinnGen_R10_local,PE_FinnGen,cg19490609,12268,22,ivw_re,-0.07698673123127596,0.04526878408351944,-0.16571354803497407,0.011740085572422149,0.08900717870064115,0.002814552772803569,178.4596842092345,
PE_FinnGen,FinnGen_R10_local,PE_FinnGen,cg24308560,106528,29,ivw_fe,0.0067200223298748635,0.013799405394290181,-0.02032681224293389,0.03376685690268362,0.6262731261274166,0.4116604214755531,576.5815219388185,
