set,go_id,term,n_term,n_hit,n_cand,n_univ,p,OR,p_bh
all,GO:0015711,organic anion transport,409,3,155,35143,0.269991616711098,1.67613563247971,0.388180718002302
all,GO:0000819,sister chromatid segregation,231,2,155,35143,0.271201583127968,1.97561044619863,0.38836066703925
all,GO:0070661,leukocyte proliferation,232,2,155,35143,0.272832831359781,1.9670385395537,0.388371929371497
all,GO:0009060,aerobic respiration,233,2,155,35143,0.274463961259745,1.95854021150658,0.388371929371497
all,GO:0045814,"negative regulation of gene expression, epigenetic",233,2,155,35143,0.274463961259745,1.95854021150658,0.388371929371497
all,GO:0007517,muscle organ development,242,2,155,35143,0.289133860560614,1.88521579430665,0.407519378270472
all,GO:0032386,regulation of intracellular transport,247,2,155,35143,0.297270755127263,1.8467889179963,0.413795489159159
all,GO:0032886,regulation of microtubule-based process,247,2,155,35143,0.297270755127263,1.8467889179963,0.413795489159159
all,GO:0010638,positive regulation of organelle organization,432,3,155,35143,0.297499492720963,1.58584612573097,0.413795489159159
all,GO:0005635,nuclear envelope,434,3,155,35143,0.299901364303509,1.57844712587919,0.413795489159159
all,GO:0030217,T cell differentiation,249,2,155,35143,0.300521863635144,1.83185027692464,0.413795489159159
all,GO:0051258,protein polymerization,249,2,155,35143,0.300521863635144,1.83185027692464,0.413795489159159
all,GO:0015850,organic hydroxy compound transport,250,2,155,35143,0.302146528757514,1.82447058823525,0.414438533698047
all,GO:0006520,amino acid metabolic process,253,2,155,35143,0.307016654194537,1.80268154692702,0.419377838749539
all,GO:0006898,receptor-mediated endocytosis,254,2,155,35143,0.308638653698794,1.79553291132721,0.419377838749539
all,GO:0045088,regulation of innate immune response,442,3,155,35143,0.30951888114235,1.54952071921884,0.419377838749539
all,GO:0003730,mRNA 3'-UTR binding,256,2,155,35143,0.311880437524402,1.78140318627446,0.419377838749539
all,GO:0051259,protein complex oligomerization,257,2,155,35143,0.313500172088689,1.77442079296046,0.419377838749539
all,GO:0001819,positive regulation of cytokine production,446,3,155,35143,0.314332238194859,1.53544666037288,0.419377838749539
all,GO:0031965,nuclear membrane,258,2,155,35143,0.315119102300631,1.76749252672641,0.419377838749539
all,GO:0120543,macromolecular conformation isomerase activity,258,2,155,35143,0.315119102300631,1.76749252672641,0.419377838749539
all,GO:0140014,mitotic nuclear division,263,2,155,35143,0.32320084536283,1.73364149208475,0.428540380147753
all,GO:0008380,RNA splicing,458,3,155,35143,0.328781221805018,1.49469949436909,0.432287416178673
all,GO:0043025,neuronal cell body,458,3,155,35143,0.328781221805018,1.49469949436909,0.432287416178673
all,GO:0045333,cellular respiration,267,2,155,35143,0.329649342504966,1.70747350126064,0.432287416178673
all,GO:0140297,DNA-binding transcription factor binding,464,3,155,35143,0.336005988677837,1.4751162658802,0.435931471754925
all,GO:0002221,pattern recognition receptor signaling pathway,271,2,155,35143,0.336081246380892,1.68207799725052,0.435931471754925
all,GO:0015291,secondary active transmembrane transporter activity,271,2,155,35143,0.336081246380892,1.68207799725052,0.435931471754925
all,GO:0002757,immune response-activating signaling pathway,467,3,155,35143,0.33961734028064,1.46551335512226,0.438927826066675
all,GO:0002009,morphogenesis of an epithelium,283,2,155,35143,0.355263722182977,1.61019884985793,0.456663509857546
all,GO:0006650,glycerophospholipid metabolic process,284,2,155,35143,0.35685384730446,1.60448310779707,0.456663509857546
all,GO:0019221,cytokine-mediated signaling pathway,482,3,155,35143,0.357651697258892,1.41929187595543,0.456663509857546
all,GO:0002758,innate immune response-activating signaling pathway,285,2,155,35143,0.358442587346286,1.59880747620682,0.456663509857546
all,GO:0060537,muscle tissue development,286,2,155,35143,0.360029923633609,1.59317153434797,0.45679632508619
all,GO:0010562,positive regulation of phosphorus metabolic process,288,2,155,35143,0.363200311190977,1.58201706608566,0.45679632508619
all,GO:0045937,positive regulation of phosphate metabolic process,288,2,155,35143,0.363200311190977,1.58201706608566,0.45679632508619
all,GO:0060341,regulation of cellular localization,487,3,155,35143,0.363650705725039,1.40451745379875,0.45679632508619
all,GO:0098813,nuclear chromosome segregation,292,2,155,35143,0.369523440421881,1.56016653236634,0.459484686848466
all,GO:0002764,immune response-regulating signaling pathway,492,3,155,35143,0.369641312325023,1.39004332477533,0.459484686848466
all,GO:0045177,apical part of cell,492,3,155,35143,0.369641312325023,1.39004332477533,0.459484686848466
all,GO:0031349,positive regulation of defense response,496,3,155,35143,0.374426900061857,1.37867412988114,0.463031974495197
all,GO:0048545,response to steroid hormone,296,2,155,35143,0.375822105305195,1.5389065536124,0.463031974495197
all,GO:0006397,mRNA processing,499,3,155,35143,0.378011652160767,1.37026684948843,0.463031974495197
all,GO:0071214,cellular response to abiotic stimulus,298,2,155,35143,0.378961923260035,1.52849059086719,0.463031974495197
all,GO:0104004,cellular response to environmental stimulus,298,2,155,35143,0.378961923260035,1.52849059086719,0.463031974495197
all,GO:0045211,postsynaptic membrane,299,2,155,35143,0.380529395760185,1.52333486348828,0.463365726810021
all,GO:0030667,secretory granule membrane,300,2,155,35143,0.38209522236705,1.51821350762524,0.463695219008148
all,GO:0002218,activation of innate immune response,303,2,155,35143,0.386782668020893,1.50305226601088,0.466222879297911
all,GO:0031589,cell-substrate adhesion,303,2,155,35143,0.386782668020893,1.50305226601088,0.466222879297911
all,GO:0002697,regulation of immune effector process,307,2,155,35143,0.393008603836006,1.48329820527556,0.470558796566188
all,GO:0043122,regulation of canonical NF-kappaB signal transduction,307,2,155,35143,0.393008603836006,1.48329820527556,0.470558796566188
all,GO:0051020,GTPase binding,308,2,155,35143,0.394560702722889,1.47843986079277,0.470842438582648
all,GO:0002443,leukocyte mediated immunity,316,2,155,35143,0.406912091111945,1.44068006949612,0.483968533614871
all,GO:0040029,epigenetic regulation of gene expression,319,2,155,35143,0.411512972216957,1.4270084209232,0.487820013422751
all,GO:0007249,canonical NF-kappaB signal transduction,320,2,155,35143,0.413042748391172,1.42250816993461,0.488017504699801
all,GO:0006887,exocytosis,325,2,155,35143,0.420662176661031,1.40042232277524,0.495385063304767
all,GO:1902903,regulation of supramolecular fiber organization,331,2,155,35143,0.429739091899435,1.37480007108581,0.504415065245895
all,GO:0030098,lymphocyte differentiation,334,2,155,35143,0.434249655051772,1.36233415521895,0.508043714080178
all,GO:0044093,positive regulation of molecular function,338,2,155,35143,0.440234145261416,1.34605716053677,0.513367504897678
all,GO:0015980,energy derivation by oxidation of organic compounds,343,2,155,35143,0.447666262012695,1.32624478362771,0.520339356495276
all,GO:0009410,response to xenobiotic stimulus,350,2,155,35143,0.457978512178273,1.29945845004666,0.530582215927043
all,GO:0106310,protein serine kinase activity,351,2,155,35143,0.459442700942412,1.29571904735301,0.530582215927043
all,GO:1903706,regulation of hemopoiesis,355,2,155,35143,0.465276632949792,1.2809721071527,0.533831034968411
all,GO:0006402,mRNA catabolic process,356,2,155,35143,0.466729368561767,1.27733715208928,0.533831034968411
all,GO:0007159,leukocyte cell-cell adhesion,356,2,155,35143,0.466729368561767,1.27733715208928,0.533831034968411
all,GO:0006644,phospholipid metabolic process,358,2,155,35143,0.469627886266922,1.27012816299702,0.535435615552733
all,GO:0009615,response to virus,360,2,155,35143,0.472517080378819,1.26299927378356,0.537019411986086
all,GO:0046486,glycerolipid metabolic process,364,2,155,35143,0.478267255187031,1.24897651368237,0.541834422015687
all,GO:0042176,regulation of protein catabolic process,372,2,155,35143,0.489653150886591,1.22183568768007,0.552684066162364
all,GO:0007610,behavior,373,2,155,35143,0.491065526300272,1.21852494348944,0.552684066162364
all,GO:0030522,intracellular receptor signaling pathway,374,2,155,35143,0.492475466775961,1.2152319038132,0.552684066162364
all,GO:0016607,nuclear speck,377,2,155,35143,0.496690618098503,1.20545760302351,0.5556726289977
all,GO:0060271,cilium assembly,379,2,155,35143,0.49948843515614,1.1990273682032,0.55688305476009
all,GO:0043235,receptor complex,380,2,155,35143,0.500883641432259,1.19583763329891,0.55688305476009
all,GO:0045785,positive regulation of cell adhesion,387,2,155,35143,0.510580473642297,1.173971052676,0.565906531157716
all,GO:0050727,regulation of inflammatory response,392,2,155,35143,0.517431543364012,1.15883019874615,0.571729915198507
all,GO:0000280,nuclear division,394,2,155,35143,0.520154262058326,1.15288145715137,0.572969925590403
all,GO:0006091,generation of precursor metabolites and energy,397,2,155,35143,0.524219257962325,1.14407072652737,0.575676363038382
all,GO:0023061,signal release,400,2,155,35143,0.528261258323441,1.13539215686273,0.577443325377988
all,GO:0009593,detection of chemical stimulus,402,2,155,35143,0.53094309885074,1.12967840535881,0.577443325377988
all,GO:0016324,apical plasma membrane,402,2,155,35143,0.53094309885074,1.12967840535881,0.577443325377988
all,GO:0002250,adaptive immune response,403,2,155,35143,0.532280160264626,1.126842796672,0.577443325377988
all,GO:1903311,regulation of mRNA metabolic process,405,2,155,35143,0.534946547977597,1.12121358831597,0.578582671226525
all,GO:1903131,mononuclear cell differentiation,409,2,155,35143,0.540248290431948,1.11012033175126,0.582556891489872
all,GO:0044782,cilium organization,411,2,155,35143,0.542883595124357,1.10465467614457,0.583640621785345
all,GO:0022804,active transmembrane transporter activity,414,2,155,35143,0.546817028360529,1.09655520823465,0.586109269919369
all,GO:0006869,lipid transport,416,2,155,35143,0.549426269694966,1.09122046254397,0.587148073285963
all,GO:0004674,protein serine/threonine kinase activity,422,2,155,35143,0.557191148147424,1.07551962333115,0.593673901895172
all,GO:0046873,metal ion transmembrane transporter activity,424,2,155,35143,0.559758432694976,1.07038475767664,0.594639521972705
all,GO:0097060,synaptic membrane,426,2,155,35143,0.56231518601776,1.06529810672311,0.595588273947805
all,GO:0010876,lipid localization,435,2,155,35143,0.573689884852379,1.0429870032304,0.604061702285741
all,GO:1903829,positive regulation of protein localization,435,2,155,35143,0.573689884852379,1.0429870032304,0.604061702285741
all,GO:0030133,transport vesicle,438,2,155,35143,0.577433805102105,1.03575372310262,0.605277268323829
all,GO:0048285,organelle fission,439,2,155,35143,0.578676473981394,1.03336459868684,0.605277268323829
all,GO:0006401,RNA catabolic process,440,2,155,35143,0.579916488924786,1.0309863339275,0.605277268323829
all,GO:0140168,nuclear ribonucleoprotein granule,443,2,155,35143,0.583620601330642,1.02391596217116,0.607372602547586
all,GO:0044089,positive regulation of cellular component biogenesis,448,2,155,35143,0.589740969837577,1.01234243697478,0.611963093338703
all,GO:0042110,T cell activation,453,2,155,35143,0.595794840129203,1.00102439798582,0.616458244989176
all,GO:0005874,microtubule,465,2,155,35143,0.610052670408376,0.974854171059091,0.623413171210465
all,GO:0002694,regulation of leukocyte activation,466,2,155,35143,0.61122352819797,0.972734158040885,0.623413171210465
all,GO:0040008,regulation of growth,466,2,155,35143,0.61122352819797,0.972734158040885,0.623413171210465
all,GO:0141188,nucleic acid catabolic process,466,2,155,35143,0.61122352819797,0.972734158040885,0.623413171210465
all,GO:0005774,vacuolar membrane,466,2,155,35143,0.61122352819797,0.972734158040885,0.623413171210465
all,GO:0015629,actin cytoskeleton,473,2,155,35143,0.619345109568964,0.958145062112217,0.629902128482071
all,GO:0051493,regulation of cytoskeleton organization,476,2,155,35143,0.622785955381307,0.952023946833622,0.631607286194074
all,GO:0005543,phospholipid binding,480,2,155,35143,0.627336629014537,0.943981481481469,0.634425178494927
all,GO:0005975,carbohydrate metabolic process,487,2,155,35143,0.635198419413946,0.930225067439694,0.640566293380824
all,GO:0080135,regulation of cellular response to stress,490,2,155,35143,0.638528149068273,0.924449779911953,0.641834168712816
all,GO:0002521,leukocyte differentiation,493,2,155,35143,0.641834168712816,0.918744779859193,0.641834168712816
all,GO:0007420,brain development,493,2,155,35143,0.641834168712816,0.918744779859193,0.641834168712816
hyper,GO:0031125,rRNA 3'-end processing,11,2,94,35143,0.00038325308578555,69.4308300394571,0.0616937158026188
hyper,GO:0072686,mitotic spindle,156,4,94,35143,0.000835360663470599,9.96780626780556,0.0616937158026188
hyper,GO:0010968,regulation of microtubule nucleation,17,2,94,35143,0.000937821731105073,44.9181585677462,0.0616937158026188
hyper,GO:0000132,establishment of mitotic spindle orientation,28,2,94,35143,0.00255717853764151,27.2631987577534,0.0616937158026188
hyper,GO:0000466,"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",28,2,94,35143,0.00255717853764151,27.2631987577534,0.0616937158026188
hyper,GO:0036503,ERAD pathway,104,3,94,35143,0.0027760596273533,11.1070371935745,0.0616937158026188
hyper,GO:0071900,regulation of protein serine/threonine kinase activity,104,3,94,35143,0.0027760596273533,11.1070371935745,0.0616937158026188
hyper,GO:0000803,sex chromosome,30,2,94,35143,0.00293257534475414,25.4442028985415,0.0616937158026188
hyper,GO:0000228,nuclear chromosome,223,4,94,35143,0.00308126301148273,6.95964125560503,0.0616937158026188
hyper,GO:0140142,nucleocytoplasmic carrier activity,32,2,94,35143,0.00333221393795301,23.852581521731,0.0616937158026188
hyper,GO:0051225,spindle assembly,112,3,94,35143,0.00342149044556441,10.3113226059645,0.0616937158026188
hyper,GO:0040001,establishment of mitotic spindle localization,33,2,94,35143,0.00354104127920301,23.1291172595444,0.0616937158026188
hyper,GO:0051294,establishment of spindle orientation,36,2,94,35143,0.0042031620002355,21.1998792270467,0.0616937158026188
hyper,GO:1901798,positive regulation of signal transduction by p53 class mediator,37,2,94,35143,0.00443563992611631,20.626321974142,0.0616937158026188
hyper,GO:0097431,mitotic spindle pole,37,2,94,35143,0.00443563992611631,20.626321974142,0.0616937158026188
hyper,GO:0000460,maturation of 5.8S rRNA,38,2,94,35143,0.00467394940912749,20.0829519450743,0.0616937158026188
hyper,GO:0034976,response to endoplasmic reticulum stress,251,4,94,35143,0.00468781320934368,6.17830898627684,0.0616937158026188
hyper,GO:0016072,rRNA metabolic process,259,4,94,35143,0.00523351096330232,5.98610038610013,0.0616937158026188
hyper,GO:0009303,rRNA transcription,41,2,94,35143,0.00542354604033861,18.6118769883302,0.0616937158026188
hyper,GO:0034504,protein localization to nucleus,266,4,94,35143,0.0057446279192222,5.82740183792791,0.0616937158026188
hyper,GO:0006606,protein import into nucleus,135,3,94,35143,0.00575985839928887,8.54896214896145,0.0616937158026188
hyper,GO:0051170,import into nucleus,139,3,94,35143,0.00624322741027167,8.30200015811461,0.0616937158026188
hyper,GO:0007020,microtubule nucleation,45,2,94,35143,0.00650271227586867,16.9555555555515,0.0616937158026188
hyper,GO:0006611,protein export from nucleus,49,2,94,35143,0.00767112352041366,15.5696539485325,0.0616937158026188
hyper,GO:0001222,transcription corepressor binding,49,2,94,35143,0.00767112352041366,15.5696539485325,0.0616937158026188
hyper,GO:0051293,establishment of spindle localization,50,2,94,35143,0.00797693775148504,15.2578260869532,0.0616937158026188
hyper,GO:0008287,protein serine/threonine phosphatase complex,50,2,94,35143,0.00797693775148504,15.2578260869532,0.0616937158026188
hyper,GO:1903293,phosphatase complex,50,2,94,35143,0.00797693775148504,15.2578260869532,0.0616937158026188
hyper,GO:0032692,negative regulation of interleukin-1 production,51,2,94,35143,0.00828817500333913,14.9582267689653,0.0616937158026188
hyper,GO:0051653,spindle localization,52,2,94,35143,0.00860480471641308,14.6701505016692,0.0616937158026188
hyper,GO:0072331,signal transduction by p53 class mediator,158,3,94,35143,0.00886532888230562,7.29969397690866,0.0616937158026188
hyper,GO:0022613,ribonucleoprotein complex biogenesis,475,5,94,35143,0.00907025217532026,4.1002956830277,0.0616937158026188
hyper,GO:0005637,nuclear inner membrane,54,2,94,35143,0.0092541198956894,14.126006441221,0.0616937158026188
hyper,GO:0030170,pyridoxal phosphate binding,54,2,94,35143,0.0092541198956894,14.126006441221,0.0616937158026188
hyper,GO:0031113,regulation of microtubule polymerization,56,2,94,35143,0.00992464123781259,13.620729813662,0.0616937158026188
hyper,GO:0043405,regulation of MAP kinase activity,56,2,94,35143,0.00992464123781259,13.620729813662,0.0616937158026188
hyper,GO:0070279,vitamin B6 binding,56,2,94,35143,0.00992464123781259,13.620729813662,0.0616937158026188
hyper,GO:0016073,snRNA metabolic process,57,2,94,35143,0.0102677791058349,13.3813882532392,0.0621470840616321
hyper,GO:0030490,maturation of SSU-rRNA,60,2,94,35143,0.0113283438209562,12.7112318840557,0.0635492458248762
hyper,GO:0051289,protein homotetramerization,60,2,94,35143,0.0113283438209562,12.7112318840557,0.0635492458248762
hyper,GO:0000502,proteasome complex,60,2,94,35143,0.0113283438209562,12.7112318840557,0.0635492458248762
hyper,GO:0072332,intrinsic apoptotic signaling pathway by p53 class mediator,62,2,94,35143,0.0120610505354877,12.3004908835883,0.0647602213559541
hyper,GO:0007051,spindle organization,178,3,94,35143,0.0122277494298079,6.47579948141706,0.0647602213559541
hyper,GO:0014069,postsynaptic density,333,4,94,35143,0.0123889119115738,4.64597931264582,0.0647602213559541
hyper,GO:0016811,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides",64,2,94,35143,0.0128140143335203,11.9154211956502,0.0654938510379926
hyper,GO:0006367,transcription initiation at RNA polymerase II promoter,187,3,94,35143,0.0139483291529753,6.16254333901357,0.0681084438218153
hyper,GO:0060076,excitatory synapse,67,2,94,35143,0.0139809338590634,11.3809214795569,0.0681084438218153
hyper,GO:0051656,establishment of organelle localization,347,4,94,35143,0.0142139361019441,4.45674031380069,0.0681084438218153
hyper,GO:0032279,asymmetric synapse,350,4,94,35143,0.014626005352855,4.41815873015859,0.068513536361988
hyper,GO:0001932,regulation of protein phosphorylation,353,4,94,35143,0.0150455820307142,4.38023292414213,0.068513536361988
hyper,GO:0030330,"DNA damage response, signal transduction by p53 class mediator",70,2,94,35143,0.0151921319759191,10.892236024843,0.068513536361988
hyper,GO:0060260,regulation of transcription initiation by RNA polymerase II,71,2,94,35143,0.0156055714102156,10.7385180649096,0.0690246427759536
hyper,GO:0071260,cellular response to mechanical stimulus,73,2,94,35143,0.0164468409679676,10.4437164979139,0.0708881446838802
hyper,GO:0071496,cellular response to external stimulus,74,2,94,35143,0.0168746150206018,10.3022914218551,0.0708881446838802
hyper,GO:0099572,postsynaptic specialization,366,4,94,35143,0.0169515128591887,4.22307225258032,0.0708881446838802
hyper,GO:1905369,endopeptidase complex,79,2,94,35143,0.0190837667318798,9.64887176664699,0.0747665828804264
hyper,GO:0030165,PDZ domain binding,79,2,94,35143,0.0190837667318798,9.64887176664699,0.0747665828804264
hyper,GO:0006364,rRNA processing,211,3,94,35143,0.0191792538693268,5.45784073746131,0.0747665828804264
hyper,GO:0045859,regulation of protein kinase activity,211,3,94,35143,0.0191792538693268,5.45784073746131,0.0747665828804264
hyper,GO:2000142,regulation of DNA-templated transcription initiation,80,2,94,35143,0.0195394606480057,9.52798913043349,0.0747705375069934
hyper,GO:0098984,neuron to neuron synapse,384,4,94,35143,0.0198304469040287,4.02303240740729,0.0747705375069934
hyper,GO:0007059,chromosome segregation,388,4,94,35143,0.0205087242048777,3.98109965635727,0.0760807510826108
hyper,GO:0042325,regulation of phosphorylation,392,4,94,35143,0.0212011718039119,3.94002267573685,0.077401103411107
hyper,GO:0031110,regulation of microtubule polymerization or depolymerization,85,2,94,35143,0.0218857521608202,8.96624040920601,0.0783726081497897
hyper,GO:0000287,magnesium ion binding,223,3,94,35143,0.022148780564071,5.16237126102572,0.0783726081497897
hyper,GO:0005819,spindle,405,4,94,35143,0.0235503201092852,3.81212620027424,0.0794682784167482
hyper,GO:0000245,spliceosomal complex assembly,89,2,94,35143,0.0238425643791016,8.56228627259299,0.0794682784167482
hyper,GO:0051262,protein tetramerization,89,2,94,35143,0.0238425643791016,8.56228627259299,0.0794682784167482
hyper,GO:0031398,positive regulation of protein ubiquitination,90,2,94,35143,0.0243426270936511,8.46690821255936,0.0794682784167482
hyper,GO:0046785,microtubule polymerization,90,2,94,35143,0.0243426270936511,8.46690821255936,0.0794682784167482
hyper,GO:0043549,regulation of kinase activity,232,3,94,35143,0.0245315120329962,4.96082796513807,0.0794682784167482
hyper,GO:0042274,ribosomal small subunit biogenesis,94,2,94,35143,0.0263855331070058,8.10568917668731,0.0829458215230329
hyper,GO:0046822,regulation of nucleocytoplasmic transport,94,2,94,35143,0.0263855331070058,8.10568917668731,0.0829458215230329
hyper,GO:0098685,Schaffer collateral - CA1 synapse,95,2,94,35143,0.0269067941428373,8.02013729977025,0.0829458215230329
hyper,GO:0006352,DNA-templated transcription initiation,241,3,94,35143,0.0270475504966412,4.7743376954993,0.0829458215230329
hyper,GO:0031123,RNA 3'-end processing,96,2,94,35143,0.0274322176571574,7.93636775362229,0.0830185534361343
hyper,GO:1905368,peptidase complex,104,2,94,35143,0.0317824186265419,7.32420568561796,0.0941665710468558
hyper,GO:0006090,pyruvate metabolic process,105,2,94,35143,0.0323441700552244,7.25424430641747,0.0941665710468558
hyper,GO:1901796,regulation of signal transduction by p53 class mediator,105,2,94,35143,0.0323441700552244,7.25424430641747,0.0941665710468558
hyper,GO:0022626,cytosolic ribosome,106,2,94,35143,0.0329098337549129,7.18560295323962,0.0946157720453746
hyper,GO:0061695,"transferase complex, transferring phosphorus-containing groups",262,3,94,35143,0.0334345509368509,4.38901937756881,0.0947779369641817
hyper,GO:0043065,positive regulation of apoptotic process,454,4,94,35143,0.0337903949176648,3.39588839941255,0.0947779369641817
hyper,GO:0051338,regulation of transferase activity,268,3,94,35143,0.0353912736302134,4.29001968181055,0.0958193209180232
hyper,GO:1903322,positive regulation of protein modification by small protein conjugation or removal,113,2,94,35143,0.0369769811376323,6.73913043478196,0.0958193209180232
hyper,GO:1901875,positive regulation of post-translational protein modification,114,2,94,35143,0.0375730708044801,6.67982456140287,0.0958193209180232
hyper,GO:0097193,intrinsic apoptotic signaling pathway,275,3,94,35143,0.0377475483996168,4.17998001997985,0.0958193209180232
hyper,GO:0003697,single-stranded DNA binding,115,2,94,35143,0.038172856179464,6.62155009451733,0.0958193209180232
hyper,GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,474,4,94,35143,0.038610996263557,3.25072667604306,0.0958193209180232
hyper,GO:0030010,establishment of cell polarity,116,2,94,35143,0.0387763136926391,6.56428035981948,0.0958193209180232
hyper,GO:0032612,interleukin-1 production,116,2,94,35143,0.0387763136926391,6.56428035981948,0.0958193209180232
hyper,GO:0032652,regulation of interleukin-1 production,116,2,94,35143,0.0387763136926391,6.56428035981948,0.0958193209180232
hyper,GO:0098839,postsynaptic density membrane,117,2,94,35143,0.0393834198713116,6.50798959494551,0.0958193209180232
hyper,GO:0006913,nucleocytoplasmic transport,280,3,94,35143,0.0394787437986685,4.1047488226058,0.0958193209180232
hyper,GO:0051169,nuclear transport,280,3,94,35143,0.0394787437986685,4.1047488226058,0.0958193209180232
hyper,GO:0043068,positive regulation of programmed cell death,479,4,94,35143,0.0398747727307198,3.21633031779162,0.0958193209180232
hyper,GO:0007338,single fertilization,118,2,94,35143,0.0399941513396966,6.45265291083213,0.0958193209180232
hyper,GO:0032496,response to lipopolysaccharide,283,3,94,35143,0.0405366178196014,4.06088611035592,0.0961177535928694
hyper,GO:0016810,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds",120,2,94,35143,0.0412263971249632,6.34474637681102,0.0967558299871584
hyper,GO:0097190,apoptotic signaling pathway,491,4,94,35143,0.0430036808650858,3.13663724824614,0.0991331662157716
hyper,GO:0002020,protease binding,123,2,94,35143,0.0431013766155529,6.18946624248796,0.0991331662157716
hyper,GO:0001221,transcription coregulator binding,124,2,94,35143,0.0437333743147636,6.1393758765773,0.0995908523999568
hyper,GO:0031109,microtubule polymerization or depolymerization,126,2,94,35143,0.0450077401328829,6.04158040027553,0.101488041476109
hyper,GO:0042254,ribosome biogenesis,297,3,94,35143,0.0456617179998373,3.86790986790972,0.101818297514386
hyper,GO:0002237,response to molecule of bacterial origin,298,3,94,35143,0.046039578006505,3.85481967696719,0.101818297514386
hyper,GO:0006368,transcription elongation by RNA polymerase II,129,2,94,35143,0.0469448771248258,5.90057296932879,0.102831635606761
hyper,GO:0009566,fertilization,135,2,94,35143,0.0509090671302249,5.63735909822821,0.109848777335669
hyper,GO:0007269,neurotransmitter secretion,136,2,94,35143,0.0515811650097924,5.59574808184099,0.109848777335669
hyper,GO:0099643,signal release from synapse,136,2,94,35143,0.0515811650097924,5.59574808184099,0.109848777335669
hyper,GO:0140104,molecular carrier activity,138,2,94,35143,0.052934936606254,5.51433522369207,0.111697572655398
hyper,GO:0099634,postsynaptic specialization membrane,144,2,94,35143,0.0570713208256518,5.2836654589368,0.117398063562676
hyper,GO:0070507,regulation of microtubule cytoskeleton organization,145,2,94,35143,0.057771443975744,5.24707646176872,0.117398063562676
hyper,GO:0019842,vitamin binding,145,2,94,35143,0.057771443975744,5.24707646176872,0.117398063562676
hyper,GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",329,3,94,35143,0.0585151492006845,3.48849326964817,0.117398063562676
hyper,GO:0000398,"mRNA splicing, via spliceosome",329,3,94,35143,0.0585151492006845,3.48849326964817,0.117398063562676
hyper,GO:0031401,positive regulation of protein modification process,330,3,94,35143,0.0589417236179494,3.47782217782206,0.117398063562676
hyper,GO:1902850,microtubule cytoskeleton organization involved in mitosis,148,2,94,35143,0.0598897832151977,5.14027614571055,0.117398063562676
hyper,GO:0000375,"RNA splicing, via transesterification reactions",333,3,94,35143,0.060230310871286,3.44619344619333,0.117398063562676
hyper,GO:0072594,establishment of protein localization to organelle,333,3,94,35143,0.060230310871286,3.44619344619333,0.117398063562676
hyper,GO:0006354,DNA-templated transcription elongation,151,2,94,35143,0.0620346449767258,5.03771955082025,0.119898893652495
hyper,GO:0003735,structural constituent of ribosome,156,2,94,35143,0.0656668633609507,4.87555741360055,0.125861488108489
hyper,GO:0031396,regulation of protein ubiquitination,160,2,94,35143,0.0686229019387342,4.75312499999968,0.130440226825693
hyper,GO:0051168,nuclear export,164,2,94,35143,0.0716222561502658,4.63666489925738,0.135025564873452
hyper,GO:0007254,JNK cascade,165,2,94,35143,0.0723787174739803,4.60843214756228,0.135342317227768
hyper,GO:0032271,regulation of protein polymerization,173,2,94,35143,0.0785228080414755,4.39432018094971,0.145647143947898
hyper,GO:0007163,establishment or maintenance of cell polarity,174,2,94,35143,0.0793020882235957,4.36894052973486,0.145915842331416
hyper,GO:0043484,regulation of RNA splicing,176,2,94,35143,0.0808679576309351,4.31904644268748,0.146453781536339
hyper,GO:0000922,spindle pole,176,2,94,35143,0.0808679576309351,4.31904644268748,0.146453781536339
hyper,GO:0042770,signal transduction in response to DNA damage,178,2,94,35143,0.0824434507899456,4.27027357107937,0.146992199082849
hyper,GO:0048863,stem cell differentiation,178,2,94,35143,0.0824434507899456,4.27027357107937,0.146992199082849
hyper,GO:0031334,positive regulation of protein-containing complex assembly,179,2,94,35143,0.0832347609551657,4.24629584648991,0.147261500151447
hyper,GO:0043254,regulation of protein-containing complex assembly,384,3,94,35143,0.0840944240949838,2.98411744505486,0.14764669879272
hyper,GO:0009612,response to mechanical stimulus,185,2,94,35143,0.088031383497012,4.10787309048154,0.153388016699339
hyper,GO:0016853,isomerase activity,394,3,94,35143,0.089186369093861,2.90754169688172,0.153967180098362
hyper,GO:0140694,membraneless organelle assembly,395,3,94,35143,0.0897026179703501,2.90009737098337,0.153967180098362
hyper,GO:1901654,response to ketone,188,2,94,35143,0.0904602456715322,4.0419750231265,0.154117455588536
hyper,GO:0000070,mitotic sister chromatid segregation,192,2,94,35143,0.093729354247798,3.95731431159398,0.157817603104547
hyper,GO:0043523,regulation of neuron apoptotic process,193,2,94,35143,0.0945519858901641,3.9366974543814,0.157817603104547
hyper,GO:0006399,tRNA metabolic process,194,2,94,35143,0.095376725354487,3.91629314208853,0.157817603104547
hyper,GO:0071222,cellular response to lipopolysaccharide,194,2,94,35143,0.095376725354487,3.91629314208853,0.157817603104547
hyper,GO:0051260,protein homooligomerization,195,2,94,35143,0.0962035557811965,3.89609810479354,0.158048698783394
