set,go_id,term,n_term,n_hit,n_cand,n_univ,p,OR,p_bh
all,GO:0060415,muscle tissue morphogenesis,56,2,155,35143,0.0254779777100463,8.19024276377122,0.157097874808924
all,GO:0070279,vitamin B6 binding,56,2,155,35143,0.0254779777100463,8.19024276377122,0.157097874808924
all,GO:0016073,snRNA metabolic process,57,2,155,35143,0.0263292527612722,8.04632496273271,0.157097874808924
all,GO:0032786,"positive regulation of DNA-templated transcription, elongation",57,2,155,35143,0.0263292527612722,8.04632496273271,0.157097874808924
all,GO:0030490,maturation of SSU-rRNA,60,2,155,35143,0.02895115232944,7.64335511982488,0.157483970931025
all,GO:0034142,toll-like receptor 4 signaling pathway,60,2,155,35143,0.02895115232944,7.64335511982488,0.157483970931025
all,GO:0051289,protein homotetramerization,60,2,155,35143,0.02895115232944,7.64335511982488,0.157483970931025
all,GO:0000502,proteasome complex,60,2,155,35143,0.02895115232944,7.64335511982488,0.157483970931025
all,GO:0061695,"transferase complex, transferring phosphorus-containing groups",262,4,155,35143,0.0291574846057532,3.52671755725182,0.157483970931025
all,GO:0006354,DNA-templated transcription elongation,151,3,155,35143,0.0294734104961105,4.57371906587641,0.157483970931025
all,GO:0042325,regulation of phosphorylation,392,5,155,35143,0.0303242526091291,2.95501700680267,0.157483970931025
all,GO:0034504,protein localization to nucleus,266,4,155,35143,0.0305810538147751,3.4732858636657,0.157483970931025
all,GO:0072332,intrinsic apoptotic signaling pathway by p53 class mediator,62,2,155,35143,0.0307546646771329,7.39637360320394,0.157483970931025
all,GO:0051338,regulation of transferase activity,268,4,155,35143,0.0313079960546336,3.44716813284562,0.157483970931025
all,GO:0051123,RNA polymerase II preinitiation complex assembly,63,2,155,35143,0.0316727539302619,7.27876335719397,0.157483970931025
all,GO:2000144,positive regulation of DNA-templated transcription initiation,63,2,155,35143,0.0316727539302619,7.27876335719397,0.157483970931025
all,GO:0030858,positive regulation of epithelial cell differentiation,64,2,155,35143,0.0326015822814383,7.16482843137182,0.157721168334526
all,GO:0016811,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides",64,2,155,35143,0.0326015822814383,7.16482843137182,0.157721168334526
all,GO:0072331,signal transduction by p53 class mediator,158,3,155,35143,0.0330589709056394,4.37021152564939,0.157801487789585
all,GO:0032720,negative regulation of tumor necrosis factor production,67,2,155,35143,0.0354513931470168,6.84342990927648,0.164825957748468
all,GO:0060076,excitatory synapse,67,2,155,35143,0.0354513931470168,6.84342990927648,0.164825957748468
all,GO:0032496,response to lipopolysaccharide,283,4,155,35143,0.0370838264688962,3.26305197388428,0.167378170080282
all,GO:0140895,cell surface toll-like receptor signaling pathway,69,2,155,35143,0.0374029430346998,6.64469072653153,0.167378170080282
all,GO:1903556,negative regulation of tumor necrosis factor superfamily cytokine production,69,2,155,35143,0.0374029430346998,6.64469072653153,0.167378170080282
all,GO:0030330,"DNA damage response, signal transduction by p53 class mediator",70,2,155,35143,0.0383938960476053,6.54957983193216,0.169691540556083
all,GO:0004842,ubiquitin-protein transferase activity,423,5,155,35143,0.0399723457379638,2.73601260835299,0.173018191723028
all,GO:0160215,deacylase activity,72,2,155,35143,0.0404056244219248,6.36728395061671,0.173018191723028
all,GO:0070897,transcription preinitiation complex assembly,73,2,155,35143,0.0414261884690892,6.27988181573943,0.173018191723028
all,GO:0071260,cellular response to mechanical stimulus,73,2,155,35143,0.0414261884690892,6.27988181573943,0.173018191723028
all,GO:0007163,establishment or maintenance of cell polarity,174,3,155,35143,0.0420649329968351,3.96653811252254,0.173018191723028
all,GO:0071496,cellular response to external stimulus,74,2,155,35143,0.042456412759771,6.19484190072371,0.173018191723028
all,GO:0042254,ribosome biogenesis,297,4,155,35143,0.0429924784715946,3.10798938613501,0.173018191723028
all,GO:0002237,response to molecule of bacterial origin,298,4,155,35143,0.0434336957504059,3.09747099871099,0.173018191723028
all,GO:1990841,promoter-specific chromatin binding,75,2,155,35143,0.0434961934499232,6.11206971677507,0.173018191723028
all,GO:0007051,spindle organization,178,3,155,35143,0.0444899721550487,3.87695890005899,0.175026483862719
all,GO:0002752,cell surface pattern recognition receptor signaling pathway,79,2,155,35143,0.0477488283489974,5.80193596425864,0.181851920733416
all,GO:1905369,endopeptidase complex,79,2,155,35143,0.0477488283489974,5.80193596425864,0.181851920733416
all,GO:0030165,PDZ domain binding,79,2,155,35143,0.0477488283489974,5.80193596425864,0.181851920733416
