region,direction,mean_abs_shap
73424,hyper,0.00854234246492206
63782,hypo,0.00854234246492206
63444,hyper,0.00854234246492206
31006,hyper,0.00845460254833641
612,hypo,0.00845460254833641
66533,hypo,0.00845460254833641
66761,hyper,0.00823299847374928
52552,hypo,0.00823299847374928
258,hypo,0.00823299847374928
104598,hyper,0.0080204766092216
16058,hypo,0.0080204766092216
31974,hypo,0.0080204766092216
47344,hyper,0.00800185605143029
105675,hyper,0.00800185605143029
105900,hypo,0.00800185605143029
5447,hyper,0.0079795623041061
14324,hypo,0.0079795623041061
38071,hyper,0.0079795623041061
20971,hyper,0.00796089861654194
38086,hyper,0.00796089861654194
33406,hyper,0.00796089861654194
6660,hyper,0.00792436233261623
27412,hypo,0.00792436233261623
13180,hyper,0.00792436233261623
23893,hyper,0.00788295531017055
64783,hypo,0.00788295531017055
10016,hypo,0.00788295531017055
46470,hyper,0.00786332765184567
3260,hyper,0.00786332765184567
28364,hypo,0.00786332765184567
1769,hyper,0.00783012479442699
93132,hypo,0.00783012479442699
100550,hyper,0.00783012479442699
31774,hypo,0.00778566928950688
12122,hyper,0.00778566928950688
12522,hypo,0.00778566928950688
47345,hyper,0.00777042363714202
84604,hypo,0.00777042363714202
60662,hyper,0.00777042363714202
36931,hyper,0.00773698645531682
2887,hypo,0.00773698645531682
66651,hyper,0.00773698645531682
58964,hyper,0.00772095340758517
13497,hypo,0.00772095340758517
31606,hypo,0.00772095340758517
52982,hyper,0.0077102979258017
2925,hyper,0.0077102979258017
91132,hyper,0.0077102979258017
19524,hyper,0.00770689465851714
5909,hypo,0.00770689465851714
88335,hyper,0.00770689465851714
22142,hyper,0.00767802474010422
32352,hypo,0.00767802474010422
63007,hypo,0.00767802474010422
27285,hyper,0.00767368221576943
86046,hyper,0.00767368221576943
105240,hyper,0.00767368221576943
31975,hyper,0.00765296152276716
43097,hypo,0.00765296152276716
61706,hypo,0.00765296152276716
9733,hyper,0.00763474961080734
47283,hyper,0.00763474961080734
55768,hyper,0.00763474961080734
16074,hyper,0.00763144661779011
22933,hypo,0.00763144661779011
99952,hypo,0.00763144661779011
6569,hyper,0.00760173953014864
5890,hypo,0.00760173953014864
89338,hypo,0.00760173953014864
547,hypo,0.0074754821540541
27720,hyper,0.0074754821540541
71427,hypo,0.0074754821540541
13934,hyper,0.00737239128113332
40427,hypo,0.00737239128113332
31435,hypo,0.00737239128113332
66523,hypo,0.0073475484590394
8983,hypo,0.0073475484590394
61928,hypo,0.0073475484590394
25460,hyper,0.00734062576442059
58104,hypo,0.00734062576442059
81229,hyper,0.00734062576442059
50400,hypo,0.00720252750542419
66253,hyper,0.00720252750542419
35264,hyper,0.00720252750542419
73693,hyper,0.00712127888754728
41613,hyper,0.00712127888754728
13179,hyper,0.00712127888754728
46471,hyper,0.00709694776268878
29437,hypo,0.00709694776268878
62596,hyper,0.00709694776268878
104782,hyper,0.00709580710993698
16641,hypo,0.00709580710993698
71018,hyper,0.00709580710993698
51775,hyper,0.0070752566974857
70418,hyper,0.0070752566974857
59865,hyper,0.0070752566974857
97752,hyper,0.00695116552299854
83412,hypo,0.00695116552299854
10080,hypo,0.00695116552299854
11016,hyper,0.00692140924216933
106528,hyper,0.00692140924216933
57400,hyper,0.00689725984303079
30748,hypo,0.00689725984303079
62784,hyper,0.00688518715337906
98401,hyper,0.00688518715337906
2387,hyper,0.00681567865883909
66708,hyper,0.00681567865883909
63788,hyper,0.00681202095114144
22275,hypo,0.00681202095114144
105670,hyper,0.00680928153171013
22387,hypo,0.00680928153171013
38022,hyper,0.00677541520934642
1211,hyper,0.00677541520934642
9563,hypo,0.00674888472134494
89961,hyper,0.00674888472134494
19690,hyper,0.00674662625568594
87376,hyper,0.00674662625568594
1293,hyper,0.00673103550763195
42116,hyper,0.00673103550763195
74671,hyper,0.00666840354412659
21412,hyper,0.00666840354412659
21206,hyper,0.00665059074316264
67054,hypo,0.00665059074316264
27908,hyper,0.00663678058849491
49802,hypo,0.00663678058849491
24986,hyper,0.00662819526006793
45289,hyper,0.00662819526006793
18201,hyper,0.00662761125489172
55383,hyper,0.00662761125489172
87114,hyper,0.00654974968890738
8537,hyper,0.00654974968890738
30739,hyper,0.00652305835139859
12268,hypo,0.00652305835139859
603,hypo,0.00651784286924066
54793,hyper,0.00651784286924066
26198,hyper,0.00645480147024325
41612,hyper,0.00645480147024325
59878,hypo,0.00645480147024325
2476,hyper,0.00644086554074234
56107,hyper,0.00644086554074234
18867,hyper,0.00643054425929595
87303,hypo,0.00643054425929595
81182,hyper,0.00640576125363853
95458,hypo,0.00640576125363853
105197,hypo,0.00640576125363853
36496,hyper,0.00640429103051323
61757,hypo,0.00640429103051323
1673,hyper,0.00640429103051323
3405,hyper,0.00639664782323392
102983,hypo,0.00639664782323392
100469,hyper,0.00639048250706261
67222,hyper,0.00639048250706261
24387,hyper,0.00631216900838337
13097,hyper,0.00631216900838337
30451,hypo,0.00631216900838337
23757,hyper,0.00615668347868395
37915,hypo,0.00615668347868395
69721,hypo,0.00615668347868395
81213,hyper,0.00599127051740301
54354,hyper,0.00599127051740301
1165,hyper,0.00581619377017964
99751,hyper,0.00581619377017964
26358,hyper,0.00571079996515469
3554,hypo,0.00571079996515469
2861,hyper,0.00554695347161313
2482,hypo,0.00554695347161313
