cell,n_marker,avail,score_pe,score_ct,diff,p_wilcox,beta_pe,p_adj,p_bh
Neutro,58,0.287446120689655,0.352932723467623,0.326869489692119,0.0260632337755036,0.196489716443163,0.0253206739824365,0.20060888127608,0.941545864656099
CD8T,41,0.302591463414634,0.630017583784854,0.669140307936953,-0.0391227241520991,0.360167318778373,-0.00643041739661921,0.772758723447208,0.941545864656099
NK,41,0.294207317073171,0.448150637985513,0.441294032769393,0.00685660521611975,0.534928151385112,0.014290085791089,0.556840198970042,0.941545864656099
B,65,0.288942307692308,0.50518391878918,0.504316172554383,0.000867746234796463,0.674388283439981,0.00927826413190187,0.629927342902743,0.941545864656099
Eosino,74,0.278927364864865,0.416733772698453,0.400410214143473,0.0163235585549799,0.693996148846398,0.00637365362574619,0.751773419392345,0.941545864656099
Mono,73,0.209760273972603,0.35379045195147,0.364772184653862,-0.0109817327023919,0.9203502627149,0.00630221235573503,0.779773342837432,0.941545864656099
CD4T,47,0.297207446808511,0.691565252459311,0.687249901224891,0.00431535123442006,0.941545864656099,-0.0110204645654247,0.610756917515827,0.941545864656099
