feature,cand_n,cand_tot,bg_n,bg_tot,prop_cand,prop_bg,or,p_fisher,p_bh
enhancer,74,166,25800,72982,0.445783132530121,0.353511824833521,1.4709588810246,0.0146664763148749,0.0366661907871873
TF_binding_site,28,166,11233,72982,0.168674698795181,0.153914663889726,1.11535499053642,0.590321130951,0.815842083141948
CTCF_binding_site,82,166,36842,72982,0.493975903614458,0.504809405058782,0.95758981080082,0.815842083141948,0.815842083141948
open_chromatin_region,42,166,17525,72982,0.253012048192771,0.240127702721219,1.07183010445907,0.715986169549796,0.815842083141948
promoter,119,166,61353,72982,0.716867469879518,0.840659340659341,0.479905437352246,6.81709792558393e-05,0.000340854896279196
