cell,cfDNA_diff
CD4Tnv,-0.0670109753460013
Baso,0.00391824171968035
CD4Tmem,0.0420354017761843
Bmem,0.00735587264911203
Bnv,0.00778351195281396
Treg,-0.013339509568752
CD8Tmem,0.00760989544074723
CD8Tnv,0.0126327780121182
Eos,0.0297685531803611
NK,-0.0424549974864792
Neu,0.00887549053184676
Mono,0.00282573713836856
