model,auc,auc_lo,auc_hi
elastic_net_166DMR,0.931640625,0.865701377638469,0.997579872361531
univariate_score_LR,0.895161290322581,0.804700319863216,0.985622260781945
xgboost_LOOCV,0.8017578125,0.684167551637835,0.919348073362165
svm_rbf_LOOCV,0.9208984375,0.846087695189382,0.995709179810618
