region_id,n_cpg,pooled_z,delta_57767,delta_73375,delta_75196,delta_beta,direction,beta_pe,beta_ctrl,symbol,delta_tissue_mean
547,2,-0.5039754280080958,-0.018035773847926234,0.0021742154798760904,-0.016180857593750084,-0.224723600994815,hypo,0.579958825953237,0.804682426948052,LOC105378724,-0.010680805320600076
612,10,0.8108828271294216,0.012815123225806408,-0.0030462957585139063,0.03840453364375003,-0.103070374147653,hypo,0.469657741345087,0.57272811549274,UBE2U,0.016057787037014177
1211,14,0.024678640811764557,-0.0034693949917708965,0.004471396974789953,7.896566964285831e-06,0.110122641681297,hyper,0.375040511200763,0.264917869519466,NIT1,0.00033663284999444734
1293,11,-0.02323919891767555,-0.0021746359272447405,-0.007160586473402747,0.0019128326420454528,0.100878884628961,hyper,0.282166823018323,0.181287938389362,METTL13,-0.0024741299195340117
1673,8,-0.11803220455647934,-0.0023350456221197602,-0.014331711981424166,-0.00026735658593745985,0.127798272195652,hyper,0.498243877772843,0.37044560557719,LOC107985364,-0.00564470472982713
1769,5,-0.008188322546336746,0.0020626318894008343,-0.009911573513931926,-0.0012678488625000317,0.20832985692703,hyper,0.608629761903171,0.400299904976142,OR4F16,-0.003038930162343708
2387,10,-0.29826402353060344,-0.008403946785005353,-0.006202939934055716,-0.00973653369999999,0.112358359016758,hyper,0.4855926139827,0.373234254965942,FUBP1,-0.008114473473020354
2476,15,-0.011999448814642306,-0.0017942944337469052,-0.00578318572831531,0.0013373199458333433,0.106410770875504,hyper,0.371222464835063,0.264811693959559,ALG14,-0.002080053405409624
2482,2,-0.4315585190465698,-0.021997884216589936,-0.041183197987616216,0.021385768562500018,-0.15045478074135,hypo,0.456382509382742,0.606837290124092,LINC01787,-0.013931771213902044
2861,2,-0.29950048308598265,-0.01156416187788021,-0.022440537058823505,0.004647754468749994,0.116637747931916,hyper,0.423024602884616,0.306386854952701,LOC105371456,-0.009785648155984573
2887,5,0.41069132634409,-0.021251315078341094,0.08959881204334366,0.0003054296375000709,-0.149080175532624,hypo,0.576555015939039,0.725635191471663,LOC124904433,0.022884308867500883
2925,2,-0.2917605500678819,-0.008739679377880283,-0.014207658204334339,-0.003852950093750085,0.139463253642678,hyper,0.609030507689132,0.469567254046454,B4GALT3,-0.008933429225321568
3260,11,-0.436859204981765,-0.013456590038542106,0.00965120709717138,-0.02240434205681818,0.138973914375161,hyper,0.529706025297857,0.390732110922697,LYPLAL1-DT,-0.0087365749993963
3554,5,0.28288665852905515,0.008584693548387024,-0.04383326829721359,0.031478836975000014,-0.178437896759777,hypo,0.391104812306524,0.569542709066301,LOC124907734,-0.0012565792579421822
5447,12,0.0009097601412131248,-0.0009638806393369481,-0.0014820459099587214,-0.0015564899843750124,0.1128286524489,hyper,0.372992467701329,0.260163815252429,MAP3K2,-0.0013341388445568942
5890,1,0.12960254372180538,-0.003521754608294847,0.014721236532507731,0.0013170620625000407,-0.105760250499749,hypo,0.444735591518383,0.550495842018131,LOC112268431,0.004172181328904308
5909,10,-0.02246461065107646,-0.0052924342626728006,-0.003589181687925667,0.004152106856250016,-0.10838558963307,hypo,0.361978097912693,0.470363687545763,TIGD1,-0.0015765030314494836
6569,8,0.2586318960080069,0.0007196852707373554,0.013957652196981404,0.0051200215078125045,0.101570779316303,hyper,0.505689363494377,0.404118584178074,LOC107984000,0.006599119658510421
6660,10,0.12754978113024823,-0.0010683179069124267,0.00027239998123494496,0.006636607924999991,0.117265139826185,hyper,0.420460690801954,0.303195550975769,LOC124909487,0.0019468966664408364
8537,6,0.10758638029768752,0.001026463549923192,0.0005401064561403477,0.0020836781354166625,0.104149988050369,hyper,0.679668996235366,0.575519008184997,EXOSC9,0.0012167493804934007
8983,4,0.31625719901062704,0.0006182330817972662,0.026910880054179524,0.0014194941406250397,-0.117004035742952,hypo,0.47403640625253,0.591040441995482,TXK,0.009649535758867277
9733,7,0.0038136439328143273,3.964055611146976e-05,-0.007744133621848718,0.0011066188125000143,0.11242712961346,hyper,0.495155518282738,0.382728388669278,MOCS2-DT,-0.0021992914177457446
10016,10,-0.5975388986305628,0.0025795747926267293,-0.05235604043343658,-0.018275313956249983,-0.110365790332844,hypo,0.752485300642685,0.862851090975528,LINC02240,-0.022683926532353276
10080,1,1.0097466473328252,-0.012308740552995578,0.06885488947368418,0.04371092068750004,-0.11556077052412,hypo,0.693448231371251,0.80900900189537,LOC107986453,0.03341902320272955
11016,9,-0.1621585436939551,-0.0013024118996415339,-0.01834213585655312,-0.002425771930555581,0.112140562146512,hyper,0.378775466449254,0.266634904302742,HDAC3,-0.0073567732289167445
12122,1,0.19856034855347496,0.0005551598095238502,0.0098182457275542,0.0035768341874999957,0.125698536680276,hyper,0.605342792462567,0.479644255782291,LOC107986676,0.004650079908192682
12268,41,-0.029832788910920578,-0.005111597963704265,0.00042158242188744635,0.0008901210198171109,-0.118554151372849,hypo,0.50801333147187,0.626567482844719,SLC17A1,-0.0012666315073332358
12522,9,-0.6021086320519967,-0.013155241472094239,-0.0395169328310973,-0.004384194854166702,-0.137220945624369,hypo,0.471301414117776,0.608522359742145,MLIP-AS1,-0.019018789719119415
13097,11,-0.45219680605973944,-0.014397289678047752,-0.013981454656065317,-0.007594875926136373,0.114866127488091,hyper,0.527439735409744,0.412573607921652,LOC124901600,-0.011991206753416481
13180,1,-0.9322349119781252,-0.020486416820276576,0.02101491857585136,-0.05523655637500008,0.18658174187493,hyper,0.580200414922299,0.393618673047369,LOC105375230,-0.018236018206475097
13497,4,-0.7523538770673834,-0.012801123754874189,-0.02965083854489156,-0.021805042156250024,-0.131901236749955,hypo,0.697765342854638,0.829666579604593,SPDYE3,-0.021419001485338592
13934,11,-0.16235576102497726,-6.512270904902893e-05,-0.01485761522150298,-0.006332915028409075,0.1040738291932,hyper,0.567091907208083,0.463018078014883,ANKMY2,-0.007085217652987028
14324,9,-0.6332347071195202,-0.012509015603345282,-0.009361731028551824,-0.02615576300000004,-0.102027475482249,hypo,0.287749509601384,0.389776985083633,PON1,-0.016008836543965715
16058,1,0.03403809417471393,0.0012305362672811043,-0.005959991919504644,0.0005076660000000038,-0.117627153515771,hypo,0.405311641026114,0.522938794541885,LINC01239,-0.0014072632174078452
16074,9,0.15897114849766047,0.002297813356374809,0.005826211176857662,0.0007347528472221895,0.118950376760145,hyper,0.428390628481123,0.309440251720978,TZMP1,0.002952925793484887
16641,3,0.13902835519503398,0.00020603540706605936,0.0444576501547988,-0.02161006666666665,-0.14146325323454,hypo,0.417741094565246,0.559204347799786,LOC101928384,0.007684539631732737
18201,9,-0.15315197568991018,-0.005952474393241188,-0.012674449314585464,0.0012694072777777801,0.145349383002927,hyper,0.45966651429358,0.314317131290654,BCCIP,-0.005785838810016291
18867,6,0.23320632296392874,0.0012601915552995443,0.005469422343653251,0.007767057572916667,0.119359869039061,hyper,0.531278939142989,0.411919070103928,LOC124902508,0.004832223823956487
19524,10,0.07621004716093824,0.0011896195828784114,-0.007796041341485991,0.004738974212500009,0.111814569907882,hyper,0.511109199036491,0.39929462912861,SF3B2,-0.0006224825153691901
19690,20,0.13285879081287139,0.002932706301880927,-0.004447550811919498,0.004301831687500015,0.100448154986886,hyper,0.554963305122791,0.454515150135905,EED,0.0009289957258204813
20971,32,-0.017537796588180745,-0.0018151672600384434,0.0003099458120162463,-0.0027945154589843757,0.10931009469254,hyper,0.571595455608356,0.462285360915815,CCDC77,-0.0014332456356688575
21206,10,-0.10161483946648542,0.00035061204085427253,-0.00024387126253871475,-0.011562028112500001,0.108547590234758,hyper,0.475445884357903,0.366898294123145,IRAK4,-0.0038184291113948147
21412,15,0.48213070224711874,0.0009489614159754199,0.05573908760538928,-0.00488725821666667,0.104738715733098,hyper,0.542371295331889,0.437632579598791,SLC16A7,0.017266930268232675
22142,6,-0.11261884345359119,-0.0016590406029186055,-0.007157008751290023,-0.005258362062499976,0.118732158788129,hyper,0.407620190183241,0.288888031395113,LMBR1L,-0.004691470472236201
22275,5,-0.6759400713993012,-0.01721504990783409,-0.02816028173374613,-0.011003935374999996,-0.156083785515757,hypo,0.62267768577298,0.778761471288737,MYO1A,-0.018793089005526738
22387,1,-0.2897669901077504,-0.005564045809523799,0.007484013126934974,-0.021571764375000024,-0.117750308522635,hypo,0.304127246859987,0.421877555382621,LINC02424,-0.006550599019196283
22933,3,-0.5251490157158097,-0.011736519585253383,-0.04110775614035087,0.0001489899374999363,-0.127864093953722,hypo,0.365733620734778,0.4935977146885,CCDC70,-0.01756509526270144
23757,10,-0.06553962184608335,-0.005804100525345589,0.0014066999521091554,-0.0013174266875000348,0.125352491048025,hyper,0.371667158996306,0.246314667948281,LOC105370460,-0.0019049424202454892
23893,28,-0.27646779378881836,-0.010933621442502655,0.004569886392414866,-0.011255883591517852,0.110396742887594,hyper,0.447430517524283,0.337033774636689,SRSF5,-0.005873206213868547
24387,10,0.028542219822701997,-0.0012363686337019696,0.00033109972383901337,-0.00030041724375001364,0.123618754568099,hyper,0.512935543493713,0.389316788925614,FKBP3,-0.0004018953845376567
24986,10,0.044650677806418945,-0.002016084780568379,0.002035372175232215,0.0009060740937500124,0.101770098889175,hyper,0.517435534925376,0.4156654360362,HAUS2,0.0003084538294712828
