method,cell,med_pe,med_ct,p_wilcox,beta_pe,p_adj,p_bh
CP,NK,0.163800540158222,0.180698155030802,0.434776629196561,-0.017328801249477,0.471483355597055,0.941397024072733
CP,Mono,0.158789502721941,0.159839713222863,0.616884831148586,0.0100608827838355,0.750838120431573,0.941397024072733
CP,Eosino,0,0,0.617501911411815,0.0238013216448105,0.106392542122499,0.941397024072733
CP,Neutro,0.248231955591386,0.269693666945095,0.72377350283722,-0.0352891081359076,0.33833005981336,0.941397024072733
CP,CD4T,1.31999831521528e-18,1.68074166730258e-18,0.854580159911311,-0.000317224993554682,0.983458691294128,0.941397024072733
CP,B,0.125207323849543,0.121361153917686,0.880936754061241,-0.00293588025703527,0.868700458275641,0.941397024072733
CP,CD8T,0.0330367543673019,0.0452319635224308,0.941397024072733,0.00773296492265383,0.714823626829172,0.941397024072733
RPC,Neutro,0.347964163845894,0.384435060400279,0.468778500019966,-0.0514457277396512,0.333616579847942,0.916726645164476
RPC,Mono,0.129459804351269,0.135036644015603,0.473965006522797,0.0123865859080572,0.774821501541401,0.916726645164476
RPC,Eosino,0,0,0.554078953347992,0.0272966954210822,0.196637277131875,0.916726645164476
RPC,B,0.0845084924809329,0.100746917393267,0.588718477761286,-0.0134555533778087,0.479851555217673,0.916726645164476
RPC,CD4T,0,0,0.696297244661592,0.00187588332338667,0.944304585889231,0.916726645164476
RPC,NK,0.0904214914653573,0.105141817875716,0.853346335613578,0.00966573133662691,0.795342093681817,0.916726645164476
RPC,CD8T,0.126441828566076,0.153078924216638,0.916726645164476,0.0136763851283069,0.762435262430015,0.916726645164476
