motif_id,tf,cand_hit,cand_n,hypo_hit,hypo_n,hyper_hit,hyper_n,bg_hit,bg_n,or,p_fisher,p_bh
MA0500.3,MYOG,112,166,42,61,70,105,1635,2458,1.04401404462567,0.865092414805204,1
MA1142.1,FOSL1::JUND,57,166,20,61,37,105,830,2458,1.02571018017022,0.865842868120289,1
MA0093.1,USF1,60,166,17,61,43,105,869,2458,1.03502182078729,0.866903617360955,1
MA1708.2,ETV7,63,166,20,61,43,105,952,2458,0.9675899486008,0.869518686057368,1
MA0079.2,SP1,100,166,32,61,68,105,1496,2458,0.9743153459731,0.869891823694564,1
MA0846.1,FOXC2,69,166,23,61,46,105,1004,2458,1.03016798784244,0.870630906380839,1
MA1731.2,ZNF768,72,166,30,61,42,105,1051,2458,1.02540640119845,0.871682427433224,1
MA1655.2,ZNF341,75,166,29,61,46,105,1133,2458,0.963841983259459,0.872252941979045,1
MA0161.2,NFIC,77,166,29,61,48,105,1121,2458,1.03187362808087,0.872253351965299,1
MA0161.3,NFIC,77,166,29,61,48,105,1122,2458,1.03018285966072,0.87232046491159,1
MA0846.2,FOXC2,78,166,28,61,50,105,1138,2458,1.02811950790861,0.872545614122849,1
MA0471.3,E2F6,87,166,28,61,59,105,1266,2458,1.03689483472314,0.872588417139106,1
MA0698.1,ZBTB18,12,166,6,61,6,105,168,2458,1.06215213358071,0.873466847522408,1
MA0760.1,ERF,12,166,6,61,6,105,169,2458,1.05540613232921,0.873823471960531,1
MA0887.2,EVX1,154,166,52,61,102,105,2286,2458,0.965587634878974,0.8751726594453,1
MA0888.2,EVX2,154,166,52,61,102,105,2286,2458,0.965587634878974,0.8751726594453,1
MA0715.1,PROP1,12,166,5,61,7,105,174,2458,1.02283922973578,0.87629485264245,1
MA0818.2,BHLHE22,12,166,6,61,6,105,175,2458,1.01654916512059,0.876919594080858,1
MA0884.1,DUXA,12,166,4,61,8,105,194,2458,0.909358682554559,0.881703711529883,1
MA1116.1,RBPJ,152,166,56,61,96,105,2259,2458,0.956428255233036,0.88297207319345,1
MA1505.2,HOXC8,152,166,51,61,101,105,2236,2458,1.07794531050345,0.889042992474785,1
MA0497.1,MEF2C,14,166,6,61,8,105,228,2458,0.900854108956602,0.889514711323907,1
MA0524.1,TFAP2C,16,166,12,61,4,105,256,2458,0.9175,0.89519773380002,1
MA0875.1,BARX1,147,166,47,61,100,105,2182,2458,0.978628973901298,0.899146902910278,1
MA1498.2,HOXA7,148,166,50,61,98,105,2175,2458,1.06983397190294,0.899970911127661,1
MA1542.1,OSR1,20,166,9,61,11,105,292,2458,1.01613811221618,0.901740326837072,1
MA2592.1,MKX,145,166,49,61,96,105,2156,2458,0.967179079423978,0.902747162321117,1
MA0907.2,HOXC13,20,166,7,61,13,105,313,2458,0.938771937502735,0.904169393048501,1
MA1487.3,FOXE1,21,166,2,61,19,105,324,2458,0.95389527458493,0.906069908577053,1
MA0831.1,TFE3,21,166,8,61,13,105,324,2458,0.95389527458493,0.906069908577053,1
MA0091.2,TAL1::TCF3,21,166,8,61,13,105,330,2458,0.933918495297806,0.906145544693662,1
MA0630.1,SHOX,138,166,43,61,95,105,2054,2458,0.969397690916678,0.91383490919392,1
MA0099.3,FOS::JUN,29,166,11,61,18,105,421,2458,1.02420375539643,0.915288594861936,1
MA0516.1,SP2,29,166,6,61,23,105,423,2458,1.01836033890701,0.915555073996475,1
MA1515.2,KLF2,137,166,50,61,87,105,2033,2458,0.987584171514833,0.91588028975908,1
MA1135.1,FOSB::JUNB,29,166,9,61,20,105,449,2458,0.947133126331019,0.917217755731248,1
MA0711.1,OTX1,135,166,47,61,88,105,1979,2458,1.05405141078094,0.919252822148947,1
MA0481.4,FOXP1,132,166,43,61,89,105,1964,2458,0.976518509644183,0.920333904056671,1
MA1502.2,HOXB8,130,166,42,61,88,105,1909,2458,1.03850183342064,0.923314838006505,1
MA1640.2,MEIS2,38,166,14,61,24,105,555,2458,1.01793355855856,0.923712654396222,1
MA1109.1,NEUROD1,39,166,16,61,23,105,568,2458,1.02181989575247,0.924269680661944,1
MA1634.1,BATF,40,166,16,61,24,105,584,2458,1.01869971732985,0.925035945700625,1
MA0524.3,TFAP2C,39,166,16,61,23,105,593,2458,0.965795169364369,0.92536136210754,1
MA2506.1,MYT1,124,166,40,61,84,105,1846,2458,0.978795852035289,0.926172422641958,1
MA1710.2,ZNF257,124,166,45,61,79,105,1843,2458,0.985194946128207,0.926404626581358,1
MA2677.1,HOXD1,43,166,10,61,33,105,626,2458,1.02309150887036,0.926710577951379,1
MA1151.2,RORC,46,166,14,61,32,105,673,2458,1.0167161961367,0.928466168535152,1
MA1524.1,MSGN1,47,166,14,61,33,105,689,2458,1.01405032259638,0.929038742304298,1
MA0708.1,MSX2,118,166,33,61,85,105,1731,2458,1.03247159637974,0.929996388910489,1
MA0740.2,KLF14,113,166,39,61,74,105,1657,2458,1.03065326060965,0.931834808955637,1
MA0465.3,CDX2,53,166,16,61,37,105,796,2458,0.979299150620358,0.931911411272889,1
MA0595.1,SREBF1,58,166,21,61,37,105,850,2458,1.0159477124183,0.932935629860514,1
MA0124.1,NKX3-1,106,166,31,61,75,105,1576,2458,0.988705583756345,0.933610480246529,1
MA0901.3,HOXB13,61,166,23,61,38,105,917,2458,0.97627875577712,0.933985698595717,1
MA0160.3,NR4A2,62,166,19,61,43,105,934,2458,0.972739252182507,0.934180581173994,1
MA0895.2,HMBOX1,102,166,27,61,75,105,1524,2458,0.976747047244094,0.934198754679815,1
MA1522.2,MAZ,104,166,40,61,64,105,1529,2458,1.01917761978101,0.934260958682907,1
