motif_id,tf,cand_hit,cand_n,hypo_hit,hypo_n,hyper_hit,hyper_n,bg_hit,bg_n,or,p_fisher,p_bh
MA1418.1,IRF3,0,166,0,61,0,105,1,2458,0,1,1
MA1418.2,IRF3,0,166,0,61,0,105,1,2458,0,1,1
MA1419.1,IRF4,0,166,0,61,0,105,0,2458,,1,1
MA1419.2,IRF4,0,166,0,61,0,105,0,2458,,1,1
MA1420.1,IRF5,0,166,0,61,0,105,2,2458,0,1,1
MA0652.1,IRF8,0,166,0,61,0,105,1,2458,0,1,1
MA0652.2,IRF8,0,166,0,61,0,105,0,2458,,1,1
MA0653.1,IRF9,0,166,0,61,0,105,0,2458,,1,1
MA2680.1,IRX5,163,166,60,61,103,105,2408,2458,1.1281838316722,1,1
MA1140.1,JUNB,4,166,0,61,4,105,66,2458,0.89487467265245,1,1
MA0493.3,KLF1,143,166,49,61,94,105,2116,2458,1.00489027697871,1,1
MA1514.2,KLF17,1,166,1,61,0,105,28,2458,0.525974025974026,1,1
MA0768.1,LEF1,1,166,1,61,0,105,22,2458,0.671074380165289,1,1
MA1520.1,MAF,0,166,0,61,0,105,10,2458,0,1,1
MA1520.2,MAF,0,166,0,61,0,105,13,2458,0,1,1
MA1521.1,MAFA,0,166,0,61,0,105,13,2458,0,1,1
MA0495.2,MAFF,0,166,0,61,0,105,0,2458,,1,1
MA0659.1,MAFG,0,166,0,61,0,105,0,2458,,1,1
MA0496.2,MAFK,0,166,0,61,0,105,0,2458,,1,1
MA0496.4,MAFK,13,166,8,61,5,105,203,2458,0.943848803889372,1,1
MA0058.2,MAX,50,166,20,61,30,105,738,2458,1.00457901130735,1,1
MA0498.3,MEIS1,163,166,60,61,103,105,2406,2458,1.17428650595733,1,1
MA0706.1,MEOX2,91,166,31,61,60,105,1343,2458,1.00734673616282,1,1
MA0825.1,MNT,53,166,14,61,39,105,787,2458,0.995861960396262,1,1
MA0666.1,MSX1,128,166,36,61,92,105,1884,2458,1.0262599173092,1,1
MA0863.1,MTF1,0,166,0,61,0,105,0,2458,,1,1
MA1108.2,MXI1,138,166,52,61,86,105,2045,2458,0.995354523227384,1,1
MA0777.1,MYBL2,0,166,0,61,0,105,0,2458,,1,1
MA0147.3,MYC,19,166,8,61,11,105,291,2458,0.962503214344157,1,1
MA0104.4,MYCN,8,166,4,61,4,105,128,2458,0.921677215189873,1,1
MA1641.1,MYF5,37,166,13,61,24,105,545,2458,1.00677049996444,1,1
MA2507.1,NACC2,0,166,0,61,0,105,0,2458,,1,1
MA1109.2,NEUROD1,70,166,29,61,41,105,1030,2458,1.01092233009709,1,1
MA0841.1,NFE2,4,166,1,61,3,105,63,2458,0.938663531256124,1,1
MA1643.1,NFIB,0,166,0,61,0,105,0,2458,,1,1
MA1643.2,NFIB,0,166,0,61,0,105,0,2458,,1,1
MA0161.1,NFIC,165,166,60,61,105,105,2434,2458,1.62695152013147,1,1
MA1527.2,NFIC,1,166,0,61,1,105,22,2458,0.671074380165289,1,1
MA0025.2,NFIL3,22,166,4,61,18,105,327,2458,0.995625212368332,1,1
MA0671.2,NFIX,164,166,60,61,104,105,2424,2458,1.15016501650165,1,1
MA1529.1,NHLH2,0,166,0,61,0,105,0,2458,,1,1
MA1529.2,NHLH2,0,166,0,61,0,105,4,2458,0,1,1
MA0115.1,NR1H2::RXRA,0,166,0,61,0,105,1,2458,0,1,1
MA1146.1,NR1H4::RXRA,0,166,0,61,0,105,7,2458,0,1,1
MA1146.2,NR1H4::RXRA,0,166,0,61,0,105,12,2458,0,1,1
MA1533.2,NR1I2,0,166,0,61,0,105,10,2458,0,1,1
MA1535.2,NR2C1,160,166,58,61,102,105,2369,2458,1.00182918249613,1,1
MA0113.1,NR3C1,0,166,0,61,0,105,12,2458,0,1,1
MA1112.2,NR4A1,45,166,11,61,34,105,666,2458,1.00067009157918,1,1
MA1112.3,NR4A1,59,166,16,61,43,105,879,2458,0.990515985667655,1,1
MA1147.2,NR4A2::RXRA,0,166,0,61,0,105,10,2458,0,1,1
MA1541.1,NR6A1,0,166,0,61,0,105,9,2458,0,1,1
MA0678.1,OLIG2,10,166,4,61,6,105,148,2458,1.00051975051975,1,1
MA0679.1,ONECUT1,4,166,2,61,2,105,65,2458,0.909021842355176,1,1
MA0679.3,ONECUT1,39,166,13,61,26,105,576,2458,1.00336286089239,1,1
MA1544.1,OVOL1,0,166,0,61,0,105,9,2458,0,1,1
MA0779.1,PAX1,0,166,0,61,0,105,0,2458,,1,1
MA0779.2,PAX1,0,166,0,61,0,105,0,2458,,1,1
MA0067.2,PAX2,0,166,0,61,0,105,0,2458,,1,1
MA0067.3,PAX2,0,166,0,61,0,105,0,2458,,1,1
MA0780.1,PAX3,9,166,4,61,5,105,139,2458,0.956376300233698,1,1
MA1546.1,PAX3,0,166,0,61,0,105,1,2458,0,1,1
MA1546.2,PAX3,0,166,0,61,0,105,2,2458,0,1,1
MA2094.1,PAX8,0,166,0,61,0,105,0,2458,,1,1
MA0781.1,PAX9,0,166,0,61,0,105,0,2458,,1,1
MA0781.2,PAX9,0,166,0,61,0,105,0,2458,,1,1
MA1113.3,PBX2,36,166,13,61,23,105,531,2458,1.00495436766623,1,1
MA1114.2,PBX3,9,166,3,61,6,105,141,2458,0.941997560645074,1,1
MA0782.1,PKNOX1,0,166,0,61,0,105,8,2458,0,1,1
MA0782.2,PKNOX1,9,166,3,61,6,105,136,2458,0.978737354814537,1,1
MA0783.1,PKNOX2,0,166,0,61,0,105,8,2458,0,1,1
MA2560.1,POGK,0,166,0,61,0,105,0,2458,,1,1
MA0784.2,POU1F1,0,166,0,61,0,105,11,2458,0,1,1
MA1962.1,POU2F1::SOX2,0,166,0,61,0,105,2,2458,0,1,1
MA0683.2,POU4F2,0,166,0,61,0,105,7,2458,0,1,1
MA1148.1,PPARA::RXRA,0,166,0,61,0,105,7,2458,0,1,1
MA1148.2,PPARA::RXRA,0,166,0,61,0,105,8,2458,0,1,1
MA1550.1,PPARD,0,166,0,61,0,105,8,2458,0,1,1
MA0066.1,PPARG,0,166,0,61,0,105,1,2458,0,1,1
MA0066.2,PPARG,0,166,0,61,0,105,0,2458,,1,1
MA0065.1,PPARG::RXRA,0,166,0,61,0,105,1,2458,0,1,1
MA1723.2,PRDM9,3,166,1,61,2,105,45,2458,0.986912065439673,1,1
MA0729.1,RARA,0,166,0,61,0,105,0,2458,,1,1
MA0730.1,RARA,0,166,0,61,0,105,2,2458,0,1,1
MA1149.1,RARA::RXRG,0,166,0,61,0,105,14,2458,0,1,1
MA1552.1,RARB,0,166,0,61,0,105,7,2458,0,1,1
MA1552.2,RARB,0,166,0,61,0,105,8,2458,0,1,1
MA0138.2,REST,0,166,0,61,0,105,1,2458,0,1,1
MA0509.2,RFX1,6,166,2,61,4,105,92,2458,0.964402173913043,1,1
MA0600.2,RFX2,0,166,0,61,0,105,13,2458,0,1,1
MA0600.3,RFX2,1,166,1,61,0,105,22,2458,0.671074380165289,1,1
MA0798.1,RFX3,1,166,1,61,0,105,27,2458,0.545679012345679,1,1
MA0799.2,RFX4,0,166,0,61,0,105,8,2458,0,1,1
MA0799.3,RFX4,0,166,0,61,0,105,9,2458,0,1,1
MA0510.2,RFX5,0,166,0,61,0,105,9,2458,0,1,1
MA0510.3,RFX5,1,166,1,61,0,105,15,2458,0.987070707070707,1,1
MA0073.2,RREB1,1,166,0,61,1,105,20,2458,0.738787878787879,1,1
MA1555.1,RXRB,0,166,0,61,0,105,10,2458,0,1,1
MA1556.1,RXRG,0,166,0,61,0,105,10,2458,0,1,1
MA0743.1,SCRT1,0,166,0,61,0,105,14,2458,0,1,1
MA1119.1,SIX2,0,166,0,61,0,105,10,2458,0,1,1
MA0795.1,SMAD3,1,166,0,61,1,105,24,2458,0.614646464646465,1,1
MA1561.1,SOX12,1,166,0,61,1,105,20,2458,0.738787878787879,1,1
MA1561.2,SOX12,1,166,0,61,1,105,27,2458,0.545679012345679,1,1
MA0866.1,SOX21,0,166,0,61,0,105,2,2458,0,1,1
MA0867.1,SOX4,0,166,0,61,0,105,0,2458,,1,1
MA0868.1,SOX8,0,166,0,61,0,105,0,2458,,1,1
MA0516.2,SP2,0,166,0,61,0,105,8,2458,0,1,1
MA0685.1,SP4,2,166,1,61,1,105,29,2458,1.02144659377628,1,1
MA1965.1,SP5,149,166,58,61,91,105,2194,2458,1.0546409995174,1,1
MA0080.1,SPI1,166,166,61,61,105,105,2444,2458,Inf,1,1
MA0080.4,SPI1,0,166,0,61,0,105,11,2458,0,1,1
MA0828.2,SREBF2,0,166,0,61,0,105,9,2458,0,1,1
MA0828.3,SREBF2,1,166,0,61,1,105,25,2458,0.589818181818182,1,1
MA0517.1,STAT1::STAT2,4,166,1,61,3,105,66,2458,0.89487467265245,1,1
MA0091.1,TAL1::TCF3,14,166,5,61,9,105,212,2458,0.975794438927507,1,1
MA0804.1,TBX19,0,166,0,61,0,105,0,2458,,1,1
MA0804.2,TBX19,0,166,0,61,0,105,2,2458,0,1,1
MA0009.2,TBXT,0,166,0,61,0,105,1,2458,0,1,1
MA0809.1,TEAD4,120,166,43,61,77,105,1776,2458,1.00176263219741,1,1
MA0003.2,TFAP2A,5,166,3,61,2,105,87,2458,0.846362533019205,1,1
MA0003.3,TFAP2A,41,166,9,61,32,105,614,2458,0.985068403908795,1,1
MA0812.2,TFAP2B,57,166,16,61,41,105,853,2458,0.983953020639513,1,1
MA1967.1,TFAP4::FLI1,0,166,0,61,0,105,2,2458,0,1,1
MA1967.2,TFAP4::FLI1,0,166,0,61,0,105,2,2458,0,1,1
MA0692.1,TFEB,19,166,7,61,12,105,284,2458,0.989412666475041,1,1
MA1572.1,TGIF2LY,1,166,0,61,1,105,29,2458,0.507628004179728,1,1
MA1574.1,THRB,2,166,1,61,1,105,38,2458,0.776636713735558,1,1
MA1575.1,THRB,0,166,0,61,0,105,0,2458,,1,1
MA1576.1,THRB,0,166,0,61,0,105,0,2458,,1,1
MA1575.2,THRB,0,166,0,61,0,105,1,2458,0,1,1
MA1576.2,THRB,0,166,0,61,0,105,0,2458,,1,1
MA2561.1,TIGD4,0,166,0,61,0,105,0,2458,,1,1
MA2562.1,TIGD5,0,166,0,61,0,105,0,2458,,1,1
MA2563.1,TIGD7,0,166,0,61,0,105,2,2458,0,1,1
MA0106.1,TP53,0,166,0,61,0,105,0,2458,,1,1
MA0106.2,TP53,0,166,0,61,0,105,12,2458,0,1,1
MA0106.3,TP53,0,166,0,61,0,105,1,2458,0,1,1
MA0525.2,TP63,0,166,0,61,0,105,0,2458,,1,1
MA0861.1,TP73,0,166,0,61,0,105,7,2458,0,1,1
MA0861.2,TP73,0,166,0,61,0,105,9,2458,0,1,1
MA0093.3,USF1,6,166,3,61,3,105,92,2458,0.964402173913043,1,1
MA0526.3,USF2,6,166,3,61,3,105,97,2458,0.912757731958763,1,1
MA0526.4,USF2,2,166,1,61,1,105,34,2458,0.869440459110474,1,1
MA0526.5,USF2,4,166,1,61,3,105,65,2458,0.909021842355176,1,1
MA0844.1,XBP1,0,166,0,61,0,105,10,2458,0,1,1
MA0095.1,YY1,166,166,61,61,105,105,2445,2458,Inf,1,1
MA0749.1,ZBED1,0,166,0,61,0,105,1,2458,0,1,1
MA0749.2,ZBED1,0,166,0,61,0,105,2,2458,0,1,1
MA0694.1,ZBTB7B,1,166,0,61,1,105,27,2458,0.545679012345679,1,1
MA1651.1,ZFP42,0,166,0,61,0,105,13,2458,0,1,1
MA0751.1,ZIC4,0,166,0,61,0,105,7,2458,0,1,1
MA0751.2,ZIC4,0,166,0,61,0,105,13,2458,0,1,1
MA1584.1,ZIC5,0,166,0,61,0,105,2,2458,0,1,1
MA1584.2,ZIC5,0,166,0,61,0,105,2,2458,0,1,1
MA1585.2,ZKSCAN1,31,166,7,61,24,105,459,2458,1.00006455257,1,1
MA1973.1,ZKSCAN3,0,166,0,61,0,105,0,2458,,1,1
MA2544.1,ZKSCAN4,0,166,0,61,0,105,1,2458,0,1,1
MA1587.1,ZNF135,20,166,6,61,14,105,299,2458,0.989141888486736,1,1
MA1589.1,ZNF140,0,166,0,61,0,105,13,2458,0,1,1
MA0088.2,ZNF143,0,166,0,61,0,105,0,2458,,1,1
MA2331.1,ZNF157,0,166,0,61,0,105,0,2458,,1,1
MA1654.1,ZNF16,0,166,0,61,0,105,2,2458,0,1,1
MA1654.2,ZNF16,0,166,0,61,0,105,2,2458,0,1,1
MA1974.1,ZNF211,4,166,3,61,1,105,63,2458,0.938663531256124,1,1
MA2548.1,ZNF226,0,166,0,61,0,105,7,2458,0,1,1
MA2549.1,ZNF234,0,166,0,61,0,105,1,2458,0,1,1
MA2462.1,ZNF250,3,166,1,61,2,105,57,2458,0.775266386825961,1,1
MA1592.1,ZNF274,0,166,0,61,0,105,14,2458,0,1,1
MA2550.1,ZNF275,0,166,0,61,0,105,4,2458,0,1,1
MA1154.1,ZNF282,0,166,0,61,0,105,1,2458,0,1,1
MA2551.1,ZNF286B,0,166,0,61,0,105,1,2458,0,1,1
MA1976.1,ZNF320,0,166,0,61,0,105,1,2458,0,1,1
MA1976.2,ZNF320,0,166,0,61,0,105,4,2458,0,1,1
MA1977.1,ZNF324,0,166,0,61,0,105,0,2458,,1,1
MA2511.1,ZNF335,62,166,25,61,37,105,917,2458,1.0018245113665,1,1
MA1711.1,ZNF343,0,166,0,61,0,105,1,2458,0,1,1
MA1711.2,ZNF343,0,166,0,61,0,105,1,2458,0,1,1
MA1978.2,ZNF354A,1,166,0,61,1,105,14,2458,1.05800865800866,1,1
MA2553.1,ZNF407,0,166,0,61,0,105,2,2458,0,1,1
MA0752.1,ZNF410,0,166,0,61,0,105,1,2458,0,1,1
MA1980.1,ZNF418,0,166,0,61,0,105,4,2458,0,1,1
MA1712.1,ZNF454,0,166,0,61,0,105,9,2458,0,1,1
MA2567.1,ZNF497,0,166,0,61,0,105,4,2458,0,1,1
MA1597.1,ZNF528,0,166,0,61,0,105,0,2458,,1,1
MA2518.1,ZNF551,0,166,0,61,0,105,0,2458,,1,1
MA2335.1,ZNF558,0,166,0,61,0,105,0,2458,,1,1
MA2545.1,ZNF57,0,166,0,61,0,105,2,2458,0,1,1
MA2519.1,ZNF606,0,166,0,61,0,105,10,2458,0,1,1
MA1984.2,ZNF667,8,166,4,61,4,105,117,2458,1.01309098777453,1,1
MA1714.1,ZNF675,0,166,0,61,0,105,0,2458,,1,1
MA1714.2,ZNF675,0,166,0,61,0,105,1,2458,0,1,1
MA2101.1,ZNF677,5,166,0,61,5,105,88,2458,0.836391869000565,1,1
MA1599.2,ZNF682,11,166,0,61,11,105,167,2458,0.97357542978559,1,1
MA1600.1,ZNF684,0,166,0,61,0,105,1,2458,0,1,1
MA1600.2,ZNF684,0,166,0,61,0,105,1,2458,0,1,1
MA2523.1,ZNF689,1,166,1,61,0,105,25,2458,0.589818181818182,1,1
MA2524.1,ZNF696,0,166,0,61,0,105,0,2458,,1,1
MA2525.1,ZNF699,0,166,0,61,0,105,12,2458,0,1,1
MA2565.1,ZNF70,166,166,61,61,105,105,2445,2458,Inf,1,1
MA1987.1,ZNF701,0,166,0,61,0,105,1,2458,0,1,1
MA1987.2,ZNF701,0,166,0,61,0,105,2,2458,0,1,1
MA1715.1,ZNF707,0,166,0,61,0,105,2,2458,0,1,1
MA2690.1,ZNF724,0,166,0,61,0,105,0,2458,,1,1
MA2570.1,ZNF746,44,166,25,61,19,105,657,2458,0.988646854804501,1,1
MA1716.1,ZNF76,0,166,0,61,0,105,1,2458,0,1,1
MA1716.2,ZNF76,0,166,0,61,0,105,4,2458,0,1,1
MA1731.1,ZNF768,5,166,5,61,0,105,75,2458,0.986749482401656,1,1
MA2099.1,ZNF770,141,166,50,61,91,105,2088,2458,0.999425287356322,1,1
MA2529.1,ZNF772,0,166,0,61,0,105,0,2458,,1,1
MA2530.1,ZNF773,0,166,0,61,0,105,8,2458,0,1,1
MA2531.1,ZNF775,2,166,0,61,2,105,39,2458,0.756410256410256,1,1
MA1718.1,ZNF8,1,166,1,61,0,105,23,2458,0.64163372859025,1,1
MA2571.1,ZNF800,148,166,48,61,100,105,2191,2458,1.00197778792028,1,1
MA2533.1,ZNF814,0,166,0,61,0,105,7,2458,0,1,1
MA2573.1,ZNF836,0,166,0,61,0,105,1,2458,0,1,1
MA2691.1,ZNF841,2,166,1,61,1,105,29,2458,1.02144659377628,1,1
MA2574.1,ZNF878,0,166,0,61,0,105,8,2458,0,1,1
MA2100.1,ZSCAN16,0,166,0,61,0,105,0,2458,,1,1
MA2516.1,ZSCAN2,0,166,0,61,0,105,1,2458,0,1,1
MA1722.1,ZSCAN31,0,166,0,61,0,105,0,2458,,1,1
MA1722.2,ZSCAN31,0,166,0,61,0,105,0,2458,,1,1
MA0733.1,EGR4,0,166,0,61,0,105,5,2458,0,1,1
MA1538.1,NR2F1,0,166,0,61,0,105,5,2458,0,1,1
MA0069.1,PAX6,0,166,0,61,0,105,5,2458,0,1,1
MA0159.1,RARA::RXRA,0,166,0,61,0,105,5,2458,0,1,1
MA0138.1,REST,0,166,0,61,0,105,5,2458,0,1,1
MA0855.1,RXRB,0,166,0,61,0,105,5,2458,0,1,1
MA1154.2,ZNF282,0,166,0,61,0,105,5,2458,0,1,1
MA1985.1,ZNF669,0,166,0,61,0,105,5,2458,0,1,1
MA2590.1,ZNF841,0,166,0,61,0,105,5,2458,0,1,1
